Stock,Signal,Confidence,Date,Price,RSI,MACD,Pattern,Insider,News,Risks
WIPRO.NS,SELL,50.0,2025-08-08,239.05,,,,,,
WIPRO.NS,SELL,55.0,2025-08-08,239.05,,,,,,
WIPRO.NS,SELL,55.0,2025-08-08,239.05,,,,,,
WIPRO.NS,SELL,50.0,2025-08-08,239.05,,,,,,
WIPRO.NS,SELL,50.0,2025-08-08,239.05,,,,,,
WIPRO.NS,SELL,45.0,2025-08-08,239.05,,,,,,
WIPRO.NS,SELL,35.0,2025-08-08,239.05,,,,,,
WIPRO.NS,BUY,70.0,2025-11-14,244.37,,,,,,
WIPRO.NS,BUY,55.0,2025-11-14,244.37,,,,,,
WIPRO.NS,SELL,50.0,2026-06-10,178.93,,,,,,
WIPRO.NS,SELL,50.0,2026-06-19,180.8,,,,,,
