Stock,Signal,Confidence,Date,Price,RSI,MACD,Pattern,Insider,News,Risks,Ticker
WIPRO.NS,SELL,50.0,2025-08-08,239.05,,,,,,,
2025-08-08,WIPRO.NS,SELL,15,239.05,,,,,,,
TCS.NS,SELL,45.0,2025-08-08,3036.4,,,,,,,
2025-08-08,TCS.NS,SELL,30,3036.4,,,,,,,
RELIANCE.NS,SELL,45.0,2025-08-08,1367.8,,,,,,,
2025-08-08,RELIANCE.NS,SELL,15,1367.8,,,,,,,
WIPRO.NS,SELL,55.0,2025-08-08,239.05,,,,,,,
2025-08-08,WIPRO.NS,SELL,15,239.05,,,,,,,
TCS.NS,SELL,40.0,2025-08-08,3036.4,,,,,,,
2025-08-08,TCS.NS,SELL,30,3036.4,,,,,,,
RELIANCE.NS,SELL,55.0,2025-08-08,1367.8,,,,,,,
2025-08-08,RELIANCE.NS,SELL,15,1367.8,,,,,,,
,SELL,50,,,34.94,-1.47,,,,No Risks,WIPRO.NS
WIPRO.NS,SELL,55.0,2025-08-08,239.05,,,,,,,
WIPRO.NS,SELL,50.0,2025-08-08,239.05,,,,,,,
WIPRO.NS,SELL,50.0,2025-08-08,239.05,,,,,,,
,SELL,50,,,34.94,-1.47,,,,No Risks,WIPRO.NS
,SELL,45,,,31.38,-1.38,,,,No Risks,ZEEL.NS
WIPRO.NS,SELL,45.0,2025-08-08,239.05,,,,,,,
TCS.NS,SELL,40.0,2025-08-08,3036.4,,,,,,,
RELIANCE.NS,SELL,50.0,2025-08-08,1367.8,,,,,,,
WIPRO.NS,SELL,35.0,2025-08-08,239.05,,,,,,,
TCS.NS,SELL,25.0,2025-08-08,3036.4,,,,,,,
RELIANCE.NS,SELL,50.0,2025-08-08,1367.8,,,,,,,
,BUY,70,,,52.87,0.71,,,,No Risks,WIPRO.NS
WIPRO.NS,BUY,70.0,2025-11-14,244.37,,,,,,,
TCS.NS,BUY,50.0,2025-11-14,3106.0,,,,,,,
RELIANCE.NS,BUY,75.0,2025-11-14,1518.9,,,,,,,
WIPRO.NS,BUY,55.0,2025-11-14,244.37,,,,,,,
TCS.NS,BUY,65.0,2025-11-14,3106.0,,,,,,,
RELIANCE.NS,BUY,70.0,2025-11-14,1518.9,,,,,,,
WIPRO.NS,SELL,50.0,2026-06-10,178.93,,,,,,,
TCS.NS,SELL,40.0,2026-06-10,2153.9,,,,,,,
RELIANCE.NS,SELL,40.0,2026-06-10,1258.8,,,,,,,
WIPRO.NS,SELL,50.0,2026-06-19,180.8,,,,,,,
TCS.NS,SELL,45.0,2026-06-19,2125.0,,,,,,,
RELIANCE.NS,SELL,55.0,2026-06-19,1309.5,,,,,,,
